citation	year	doi	research_question	data_type	populations	method	main_finding	limitations	relevance_to_current_project	reproducible_with_aadr	notes
Browning et al. 2018 (Cell 173:53-61.e9)	2018	10.1016/j.cell.2018.02.031	How many Denisovan admixture pulses; do components differ across populations	5639 whole-genome sequences (1000G + UK10K + SGDP Papuan)	European, East Asian, South Asian, admixed American (PUR/CLM/MXL/PEL), SGDP Papuan	Reference-free Sprime (S*-like) introgressed-segment detection; match-rate of segments to Altai Neanderthal & Altai Denisovan; two-component Gaussian mixture test	Two Denisovan components: high-altair-affinity (mu~0.82-0.86, ~1/3 of East Asian Denisovan segments) and moderate-affinity (mu~0.46-0.52, dominant in Papuans/South Asians). Two-component test significant ONLY in CHS/CHB/CDX/JPT (+FIN/Punjabi), NOT in American pops	Americans in Fig4 are ADMIXED 1000G pops; authors explicitly say American lower match rates are 'likely due to admixture/LD causing false positives'; no tract dates; single Denisovan reference	CENTRAL. Establishes the two-component framework but does NOT show Native Americans carry a Papuan-like component; authors attribute American Denisovan segments to 'Native American ancestors related to East Asians'. Fig4 row 4 (American + SGDP Papuan) is the source of the hypothesis but does not justify it	No (requires phased whole genomes + Sprime)	VERIFIED by fetching PMC5866234 full text + PubMed PMID 29551270 this session
Qin & Stoneking 2015 (Mol Biol Evol 32:2665-2674)	2015	10.1093/molbev/msv141	Geographic extent of Denisovan ancestry; relationship between EE/NA and Oceanian Denisovan ancestry	Genome-wide SNP data, 2493 individuals from 221 populations	Eastern Eurasian, Native American (EE/NA), Oceanian (Papuan, Australian)	Correlation of Denisovan-ancestry estimate with New Guinea vs Australian ancestry components	Widespread VERY LOW LEVEL Denisovan ancestry across EE/NA; in Oceania correlated with New Guinea (not Australian) ancestry (recent gene flow); in EE/NA EQUALLY correlated with New Guinea AND Australian ancestry, suggesting a common source for EE/NA and Oceanian Denisovan ancestry	SNP data (not WGS); correlation-based (not a formal D-stat/tract test); cannot distinguish 'common ancestry with' from 'gene flow from' common ancestor of New Guineans + Australians	VERY HIGH. Already found the low-level EE/NA Denisovan signal and its equal Papuan/Australian correlation -- this IS the hypothesis. Provides the population-level motivation; project must test it with controlled D-stats + diagnostic markers on AADR ancients	Partially (SNP-based D-stats reproducible; their correlation design needs modern reference panels present in AADR HO)	VERIFIED by fetching PubMed PMID 26104010 this session
Jacobs et al. 2019 (Cell 177:1010-1021)	2019	10.1016/j.cell.2019.02.035	How many divergent Denisovan ancestries in Papuans; their relationships	161 Papuan individuals, WGS + SGDP/1000G comparisons	Papuan (highland/lowland), comparison Eurasian/Oceanian	IBDmix reference-based tract detection + joint demographic modeling; two-ancestry vs single-ancestry model comparison	At least two (likely three) deeply divergent Denisovan ancestries in Papuans; distinct components introgressed at different times; one component closer to Altai Denisovan than the other	Model-dependent; Papuan-specific; requires WGS + phasing; IBDmix needs an archaic reference	HIGH. Defines the 'multiple divergent Denisovan lineages' framework that the project's Tier-5 (Papuan-like vs Han-like split) must reference; supports Model 4 (structured Denisovan source)	No (requires phased WGS)	VERIFIED citation by fetching DOI 10.1016/j.cell.2019.02.035 this session
Reich et al. 2010 (Nature 468:1053-1058)	2010	10.1038/nature09710	Discovery of Denisovan introgression in modern humans	Low-coverage Denisovan genome + 38 present-day genomes	Oceanian, East Asian, etc.	D-statistics D(African, X; Denisovan, Chimp)	Denisovan ancestry concentrated in Oceanians (~5%); traces in some East Asians	Single low-coverage Denisovan; limited populations	FOUNDATIONAL. The D(African,X;Denisovan,Chimp) form used here is the Tier-1 statistic the project reuses (sign convention derived)	Yes (D-stats reproducible on AADR)	from knowledge; canonical reference
Meyer et al. 2012 (Science 338:222-226)	2012	10.1126/science.1224344	High-coverage Denisovan genome; archaic ancestry estimates	High-coverage Denisovan Altai genome	Human + archaic comparisons	D-statistics + f4-ratio	Refines Denisovan divergence and introgression estimates; Denisovan ancestry in Oceanians, less in mainland Asians	Single Denisovan; no tract-level analysis	Provides the high-coverage Denisovan reference used throughout	Yes	Denisova.SG/Denisova3.DG in AADR derive from this work
Reich et al. 2011 (Am J Hum Genet 89:516-528)	2011	10.1016/j.ajhg.2011.08.005	Denisovan ancestry geographic distribution	SNP array + WGS	Oceanian, East/Southeast Asian, etc.	D-statistics + f4-ratio (Denisovan ancestry estimate)	Denisovan ancestry highest in Oceanians, present at low levels in East/Southeast Asians, absent in West Eurasians	African outgroup choice matters; array ascertainment	Positive-control expectations (Papuan high, West Eurasian ~0) the project must reproduce	Yes	positive-control benchmark
Huerta-Sanchez et al. 2014 (Nature 512:194-197)	2014	10.1038/nature13408	EPAS1 Denisovan adaptive introgression in Tibetans	Tibetan + Han + archaic WGS	Tibetan, Han, Sherpa	Haplotype analysis + D-stats	Denisovan-derived EPAS1 haplotype at high freq in Tibetans (altitude adaptation)	Single locus; selection confounds genome-wide estimates	Required exclusion locus for Tier 19 (selected-locus sensitivity)	No (EPAS1 region poorly covered on 1240K; 0 diagnostic SNPs in window per existing pipeline)	selected-locus control
Skoglund & Jakobsson 2011 (PNAS 108:18101-18106)	2011	10.1073/pnas.1116378108	Archaic ancestry in East Asians via D-stats	WGS + SNP	East Asian, Oceanian	D-statistics	Denisovan ancestry in East Asians detectable via D-stats at low levels	Power-limited; single Denisovan	Early support for low-level East Asian Denisovan ancestry (the 'main East Asian component')	Yes	historical context
Mallick et al. 2024 (Sci Data 11:182) (AADR)	2024	10.1038/s41597-024-03078-0	Ancient DNA resource documentation	1240K + HO capture genotypes, ~23k ancient + moderns	global	AADR file formats, metadata, releases	Documents the 1240K panel, TGENO format, .anno metadata, sample inclusion	Is a capture panel (not WGS); pseudo-haploid calls; transitions include damage	THE dataset. Defines what is and isn't testable: pseudo-haploid 1240K cannot do phasing/tract-length dating	Yes (it IS the data)	VERIFIED format from local files this session; DOI from knowledge of AADR release
Patterson et al. 2012 (Genetics 192:1065-1094)	2012	10.1534/genetics.112.145037	f-statistic framework (D, f4, f4-ratio)	Theoretical + HGDP	WGP populations	D-statistic, f4, f4-ratio derivations + jackknife	Defines D(W,X;Y,Z), f4, f4-ratio and their symmetry/antisymmetry properties	Theoretical	Provides the sign/antisymmetry rules the project uses to convert between D(X,Mbuti;Denisova,Chimp) and D(Mbuti,X;Denisova,Chimp)	N/A (method)	antisymmetry D(W,X;Y,Z)=-D(X,W;Y,Z) is the sign-convention key
